[0628/051923.870017:ERROR:simple_backend_impl.cc(79)] Failed to create directory: /home/ubuntu/futbol_scratch_-_prediction/ /home/ubuntu/user-data-dir/Default/Code Cache/js
[0628/051923.870155:ERROR:simple_backend_impl.cc(79)] Failed to create directory: /home/ubuntu/futbol_scratch_-_prediction/ /home/ubuntu/user-data-dir/Default/Code Cache/wasm
[0628/051923.870238:ERROR:simple_backend_impl.cc(79)] Failed to create directory: /home/ubuntu/futbol_scratch_-_prediction/ /home/ubuntu/user-data-dir/Default/Code Cache/wasm
[0628/051923.870249:ERROR:simple_backend_impl.cc(79)] Failed to create directory: /home/ubuntu/futbol_scratch_-_prediction/ /home/ubuntu/user-data-dir/Default/Code Cache/js
[0628/051923.870257:ERROR:simple_backend_impl.cc(738)] Simple Cache Backend: wrong file structure on disk: 1 path: /home/ubuntu/futbol_scratch_-_prediction/ /home/ubuntu/user-data-dir/Default/Code Cache/wasm
[0628/051923.870279:ERROR:simple_backend_impl.cc(738)] Simple Cache Backend: wrong file structure on disk: 1 path: /home/ubuntu/futbol_scratch_-_prediction/ /home/ubuntu/user-data-dir/Default/Code Cache/js
[0628/051923.870482:ERROR:disk_cache.cc(205)] Unable to create cache
[0628/051923.870507:ERROR:disk_cache.cc(205)] Unable to create cache
[0628/051923.893337:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893387:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893398:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893407:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893415:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893425:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893433:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893441:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893450:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893460:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893469:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893478:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893486:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893495:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893503:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893512:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893521:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893530:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893539:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893549:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893558:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893567:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893576:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893585:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893594:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893603:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893612:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893620:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893629:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0628/051923.893651:WARNING:cache_util.cc(137)] Unable to delete cache folder.
